machine_type,baseRate,season,booking_time,duration_hours,discount,gst,demand_index,available,finalPrice
Drone,4288.41,Harvest,Morning,2,13.41,18.0,0.69,True,1182.28
Drone,4253.99,Growing,Afternoon,2,9.26,18.0,0.94,True,1073.17
Harvester,4135.68,Planting,Night,5,3.51,18.0,1.04,True,3030.29
Drone,4635.79,Harvest,Night,3,3.46,18.0,0.96,True,2217.01
Tractor,1820.94,Planting,Afternoon,5,9.93,18.0,1.06,True,1407.47
Plough,1489.56,Planting,Evening,5,8.71,18.0,0.59,False,746.95
Harvester,4107.97,Growing,Morning,4,3.01,18.0,1.04,True,2921.84
Harvester,3960.3,Growing,Night,5,0.02,18.0,0.8,False,2104.77
Tractor,1989.95,Planting,Afternoon,3,3.52,18.0,0.9,True,840.43
Plough,1647.75,Growing,Morning,5,11.53,18.0,0.74,True,959.42
Harvester,3674.34,Planting,Afternoon,3,1.34,18.0,1.26,True,2215.02
Harvester,4260.85,Growing,Morning,3,2.39,18.0,0.56,True,1243.6
Plough,1418.21,Growing,Afternoon,2,5.4,18.0,0.59,False,232.57
Drone,4548.42,Off-Season,Night,4,12.38,18.0,0.78,False,1320.02
Tractor,2149.33,Growing,Night,3,13.79,18.0,1.0,False,735.69
Plough,1605.43,Harvest,Morning,3,7.52,18.0,0.9,True,919.53
Plough,1538.39,Harvest,Evening,3,13.17,18.0,1.37,True,1208.91
Drone,4761.03,Growing,Night,5,12.28,18.0,0.82,True,2280.08
Tractor,1861.52,Planting,Evening,4,5.19,18.0,1.48,True,1943.7
Plough,1596.74,Harvest,Afternoon,2,7.19,18.0,0.81,True,462.46
Plough,1391.76,Planting,Night,5,11.47,18.0,0.67,True,607.07
Tractor,1959.47,Planting,Afternoon,2,9.99,18.0,0.62,True,355.83
Plough,1501.83,Off-Season,Evening,4,14.45,18.0,1.05,False,731.97
Drone,4439.25,Off-Season,Night,2,14.05,18.0,1.38,True,1115.26
Tractor,2140.58,Growing,Afternoon,5,3.24,18.0,1.12,True,1710.19
Plough,1395.61,Planting,Morning,4,8.47,18.0,0.69,True,688.24
Drone,4486.14,Planting,Evening,3,0.87,18.0,1.2,False,2974.93
Harvester,3791.34,Off-Season,Morning,4,1.12,18.0,1.28,True,2723.65
Tractor,1871.11,Planting,Afternoon,5,0.93,18.0,1.01,False,1517.92
Tractor,2125.59,Growing,Night,4,3.31,18.0,0.67,True,735.27
Tractor,2139.21,Off-Season,Morning,3,1.96,18.0,1.39,True,1235.35
Drone,4225.16,Planting,Night,4,7.88,18.0,0.98,True,2231.63
Drone,4398.37,Planting,Evening,2,0.17,18.0,0.92,True,1501.25
Tractor,1807.68,Growing,Evening,4,8.73,18.0,1.18,True,1321.99
Tractor,2047.58,Off-Season,Evening,2,0.18,18.0,0.74,False,411.15
Drone,4771.38,Off-Season,Afternoon,2,0.64,18.0,0.87,True,974.97
Drone,4631.48,Off-Season,Night,2,12.67,18.0,0.6,True,513.83
Tractor,1860.02,Planting,Afternoon,5,3.65,18.0,1.15,True,1674.39
Drone,4602.67,Harvest,Morning,2,6.89,18.0,1.29,True,2534.28
Drone,4909.8,Planting,Evening,2,9.88,18.0,1.44,True,2382.38
Harvester,3661.13,Planting,Afternoon,2,12.61,18.0,0.54,False,558.99
Drone,4465.33,Off-Season,Morning,4,7.43,18.0,0.89,True,2075.12
Harvester,3781.57,Planting,Morning,2,1.0,18.0,1.02,True,1484.66
Drone,4713.69,Planting,Afternoon,2,6.65,18.0,0.55,True,782.24
Plough,1573.86,Planting,Night,2,1.08,18.0,0.57,True,259.74
Plough,1636.95,Growing,Morning,2,5.81,18.0,0.96,False,525.02
Plough,1641.22,Off-Season,Evening,4,9.92,18.0,0.69,True,549.86
Harvester,3678.72,Off-Season,Night,3,12.46,18.0,0.57,True,583.51
Tractor,1833.05,Off-Season,Evening,5,14.52,18.0,0.8,True,845.69
Tractor,2049.87,Growing,Night,3,10.01,18.0,0.51,True,374.98
Tractor,1904.29,Growing,Afternoon,2,9.66,18.0,1.03,True,522.88
Harvester,4374.79,Off-Season,Morning,2,1.88,18.0,0.97,True,1184.47
Tractor,1994.41,Off-Season,Morning,5,11.22,18.0,1.31,True,1644.43
Drone,4165.29,Growing,Morning,4,1.66,18.0,1.1,True,3185.75
Plough,1462.8,Planting,Evening,3,6.59,18.0,1.11,False,851.23
Plough,1422.21,Growing,Morning,2,10.14,18.0,1.0,True,450.62
Plough,1647.72,Harvest,Evening,3,12.24,18.0,1.36,True,1302.31
Harvester,4335.14,Planting,Afternoon,3,9.54,18.0,0.72,False,1376.37
Harvester,4198.55,Growing,Afternoon,3,11.65,18.0,1.16,True,1897.82
Tractor,2018.01,Growing,Night,4,4.04,18.0,1.04,True,1068.95
Plough,1382.38,Harvest,Morning,2,10.89,18.0,1.32,True,747.05
Plough,1501.76,Off-Season,Afternoon,5,5.14,18.0,0.91,True,767.76
Plough,1573.03,Off-Season,Night,4,4.46,18.0,1.07,True,679.91
Drone,4835.99,Growing,Evening,4,13.16,18.0,0.93,True,2660.87
Harvester,4046.43,Planting,Afternoon,5,3.7,18.0,1.23,False,3877.1
Tractor,1839.67,Off-Season,Evening,5,13.2,18.0,1.16,True,1254.2
Drone,4718.11,Planting,Afternoon,3,9.24,18.0,0.69,True,1434.08
Harvester,4227.03,Harvest,Evening,5,7.86,18.0,1.35,True,5788.7
Drone,4799.41,Growing,Morning,3,3.04,18.0,1.46,True,3603.02
Drone,4344.24,Off-Season,Night,4,12.63,18.0,0.97,True,1564.51
Plough,1387.41,Planting,Night,4,6.73,18.0,1.22,True,923.71
Plough,1527.91,Growing,Evening,2,9.95,18.0,0.5,True,234.27
Tractor,1811.63,Harvest,Morning,3,5.33,18.0,1.29,True,1532.18
Drone,4579.38,Off-Season,Evening,5,7.65,18.0,1.22,True,3510.4
Tractor,1890.18,Planting,Morning,5,8.41,18.0,1.1,True,1859.75
Drone,4774.49,Planting,Evening,4,0.34,18.0,0.82,True,2919.46
Plough,1394.7,Growing,Morning,5,5.01,18.0,1.28,True,1506.45
Plough,1586.58,Planting,Morning,5,7.8,18.0,0.87,True,1243.81
Plough,1570.65,Growing,Night,2,1.33,18.0,0.72,True,296.51
Plough,1570.7,Off-Season,Afternoon,4,11.0,18.0,0.8,True,527.46
Harvester,4110.04,Harvest,Afternoon,5,11.78,18.0,0.62,True,2149.41
Tractor,2135.92,Off-Season,Evening,4,11.1,18.0,1.45,True,1494.82
Drone,4558.99,Off-Season,Morning,3,5.02,18.0,0.53,True,967.93
Tractor,2132.68,Off-Season,Night,2,10.47,18.0,1.43,True,579.82
Drone,4100.52,Off-Season,Night,4,6.44,18.0,1.37,True,2237.05
Drone,4217.49,Harvest,Afternoon,2,6.53,18.0,1.44,True,2173.03
Harvester,4104.94,Growing,Morning,3,10.92,18.0,1.0,True,1934.84
Tractor,2091.8,Planting,Night,3,0.86,18.0,0.73,True,658.86
Plough,1469.65,Growing,Night,5,9.85,18.0,1.46,True,1280.88
Plough,1367.12,Growing,Afternoon,3,0.54,18.0,0.78,True,466.72
Plough,1586.14,Harvest,Night,3,4.08,18.0,1.26,True,992.01
Tractor,2110.68,Harvest,Afternoon,5,2.35,18.0,1.35,True,2673.91
Plough,1535.91,Planting,Evening,4,2.09,18.0,1.03,True,1158.77
Tractor,1938.94,Planting,Morning,4,3.55,18.0,1.23,True,1794.95
Harvester,3702.39,Growing,Afternoon,5,14.05,18.0,0.55,True,1296.05
Harvester,3808.13,Harvest,Morning,2,7.42,18.0,1.48,True,2400.59
Harvester,4180.12,Off-Season,Afternoon,2,8.48,18.0,0.96,False,870.29
Drone,4597.67,Growing,Afternoon,2,2.75,18.0,0.52,True,688.61
Plough,1475.4,Off-Season,Night,2,12.76,18.0,1.06,True,290.13
Drone,4153.29,Growing,Morning,3,6.06,18.0,1.04,True,2159.9
Tractor,2019.54,Planting,Evening,3,1.23,18.0,0.96,True,1070.04
Plough,1399.73,Harvest,Night,3,9.96,18.0,0.72,True,467.23
Drone,4825.79,Harvest,Afternoon,4,9.76,18.0,1.05,True,3491.69
Tractor,2005.0,Off-Season,Morning,5,5.34,18.0,1.48,True,1986.14
Drone,4497.53,Planting,Night,5,3.88,18.0,0.66,True,2098.06
Tractor,2102.7,Growing,Night,3,0.27,18.0,0.63,True,523.01
Drone,4195.46,Harvest,Afternoon,3,3.58,18.0,0.95,False,2213.52
Harvester,4217.61,Off-Season,Morning,4,8.29,18.0,0.59,True,1301.71
Tractor,1912.97,Planting,Afternoon,3,7.47,18.0,0.61,True,521.68
Drone,4789.89,Growing,Evening,3,1.4,18.0,0.94,True,2261.68
Plough,1406.02,Planting,Morning,5,4.31,18.0,1.29,True,1693.39
Tractor,2053.83,Off-Season,Evening,4,9.64,18.0,0.7,True,700.96
Drone,4518.17,Growing,Afternoon,5,10.44,18.0,1.29,True,3859.51
Drone,4821.46,Off-Season,Evening,4,13.46,18.0,0.67,True,1514.88
Harvester,4078.49,Growing,Night,4,2.76,18.0,1.39,True,2935.51
Tractor,1860.84,Planting,Evening,5,11.98,18.0,1.47,True,2242.86
Plough,1385.29,Off-Season,Evening,4,7.58,18.0,1.47,True,1019.59
Harvester,4387.29,Planting,Night,2,10.88,18.0,0.82,False,939.82
Harvester,4383.83,Planting,Night,4,2.43,18.0,0.51,True,1280.64
Harvester,4021.92,Off-Season,Night,2,12.34,18.0,0.71,True,531.47
Drone,4926.11,Growing,Morning,5,12.87,18.0,1.32,True,5010.35
Harvester,4168.19,Planting,Morning,5,14.82,18.0,1.4,True,4843.36
Plough,1444.22,Growing,Evening,5,7.41,18.0,1.33,True,1506.33
Plough,1402.13,Off-Season,Night,2,1.69,18.0,0.59,True,171.91
Plough,1476.04,Growing,Afternoon,3,5.22,18.0,0.95,True,588.32
Tractor,2060.46,Harvest,Afternoon,5,8.66,18.0,1.24,True,2233.99
Plough,1603.12,Off-Season,Night,4,9.51,18.0,0.63,True,385.92
Plough,1447.53,Growing,Afternoon,5,0.06,18.0,1.18,True,1260.77
Plough,1546.58,Growing,Evening,2,12.56,18.0,0.78,True,357.53
Plough,1558.25,Harvest,Night,2,3.23,18.0,0.86,True,447.78
Tractor,2105.26,Growing,Evening,2,9.8,18.0,1.44,True,926.61
Plough,1579.82,Planting,Night,4,0.89,18.0,1.4,True,1279.38
Plough,1612.27,Harvest,Night,4,8.41,18.0,0.61,True,622.83
Drone,4464.32,Planting,Evening,5,5.72,18.0,0.63,True,2469.19
Drone,4772.12,Off-Season,Night,4,6.34,18.0,0.54,True,1029.15
Plough,1625.42,Off-Season,Afternoon,4,1.91,18.0,1.21,False,908.82
Harvester,4260.83,Growing,Afternoon,4,12.07,18.0,0.52,False,1144.99
Plough,1568.0,Off-Season,Afternoon,4,9.42,18.0,1.03,True,692.26
Drone,4454.86,Planting,Night,5,10.56,18.0,1.04,True,3027.68
Tractor,1896.76,Planting,Afternoon,5,8.51,18.0,0.78,True,1103.5
Tractor,1829.7,Growing,Night,2,4.5,18.0,1.24,True,576.75
Harvester,4322.32,Harvest,Afternoon,5,13.16,18.0,0.83,True,2988.4
Tractor,2195.61,Harvest,Morning,4,1.18,18.0,0.74,True,1476.73
Tractor,1813.87,Off-Season,Night,4,4.02,18.0,1.29,True,953.44
Harvester,4127.06,Harvest,Afternoon,5,12.47,18.0,1.1,True,3806.18
Harvester,3675.09,Harvest,Morning,2,0.49,18.0,1.37,True,2303.26
Tractor,2182.33,Growing,Morning,5,7.76,18.0,0.93,True,1657.51
Tractor,1973.84,Harvest,Afternoon,4,2.06,18.0,0.84,True,1246.68
Drone,4203.52,Harvest,Evening,2,9.47,18.0,1.09,True,1832.2
Tractor,1894.97,Growing,Morning,4,1.98,18.0,0.73,True,965.55
Drone,4923.69,Harvest,Evening,5,14.26,18.0,1.1,True,5123.15
Drone,4505.64,Growing,Morning,4,6.1,18.0,1.39,True,4167.84
Harvester,3631.81,Harvest,Morning,3,0.68,18.0,0.64,True,1593.58
Plough,1641.46,Planting,Afternoon,2,7.09,18.0,1.12,True,555.49
Tractor,1978.99,Off-Season,Evening,5,3.1,18.0,1.02,True,1322.61
Tractor,1803.07,Growing,Evening,3,12.5,18.0,1.34,True,1078.96
Drone,4466.57,Growing,Evening,2,8.58,18.0,1.01,True,1402.81
Drone,4888.58,Growing,Morning,2,12.25,18.0,0.78,True,1191.4
Harvester,4025.28,Planting,Evening,4,7.61,18.0,1.37,True,3814.3
Drone,4682.03,Off-Season,Evening,4,6.76,18.0,1.43,True,3387.22
Harvester,3911.9,Growing,Afternoon,4,6.17,18.0,1.41,True,3048.5
Tractor,2043.16,Planting,Evening,5,4.45,18.0,1.22,False,2219.13
Harvester,4177.11,Planting,Evening,2,9.55,18.0,0.55,True,777.1
Harvester,3647.62,Off-Season,Evening,4,13.07,18.0,0.76,True,1302.33
Tractor,2120.14,Planting,Morning,5,5.54,18.0,0.62,True,1210.81
Harvester,4200.94,Growing,Evening,2,6.06,18.0,0.82,True,1099.22
Tractor,1965.07,Planting,Morning,2,10.18,18.0,0.86,True,592.4
Plough,1353.04,Growing,Night,3,2.08,18.0,0.62,True,324.88
Harvester,3737.48,Planting,Morning,3,1.81,18.0,1.4,True,3006.28
Harvester,4027.17,Planting,Night,5,12.3,18.0,1.19,True,3081.21
Drone,4453.97,Growing,Evening,4,8.66,18.0,0.54,True,1500.92
Tractor,2023.46,Off-Season,Afternoon,4,7.0,18.0,1.32,True,1169.55
Harvester,3909.91,Planting,Night,4,6.45,18.0,1.17,True,2506.04
Plough,1441.89,Harvest,Afternoon,3,8.85,18.0,0.73,True,549.07
Drone,4455.11,Off-Season,Morning,5,13.75,18.0,0.93,True,2532.77
Harvester,4065.76,Harvest,Evening,3,5.55,18.0,0.53,True,1339.83
Tractor,2010.33,Growing,Night,3,2.5,18.0,0.93,True,726.35
Tractor,2156.04,Off-Season,Afternoon,2,14.2,18.0,0.84,True,366.62
Plough,1463.67,Off-Season,Afternoon,4,5.11,18.0,0.57,True,374.79
Harvester,3848.97,Harvest,Evening,3,12.71,18.0,1.03,True,2291.78
Tractor,2032.09,Harvest,Afternoon,3,6.81,18.0,1.19,True,1294.45
Plough,1495.68,Planting,Evening,5,14.66,18.0,1.03,True,1228.79
Tractor,1839.72,Off-Season,Evening,3,0.46,18.0,0.89,True,661.97
Harvester,3618.68,Growing,Night,4,2.21,18.0,0.99,True,1856.3
Drone,4801.93,Growing,Morning,2,14.34,18.0,0.81,True,1185.25
Plough,1530.88,Off-Season,Morning,5,8.18,18.0,0.59,True,585.38
Harvester,3721.27,Growing,Morning,2,5.78,18.0,0.84,True,1043.05
Plough,1396.24,Off-Season,Morning,2,7.98,18.0,0.67,True,243.17
Drone,4804.69,Harvest,Evening,4,4.53,18.0,0.76,True,3072.11
Plough,1367.29,Planting,Morning,3,10.16,18.0,0.74,True,527.38
Plough,1513.45,Off-Season,Night,2,8.71,18.0,0.64,True,187.58
Harvester,4100.99,Off-Season,Night,4,3.11,18.0,1.28,True,2164.58
Plough,1440.15,Harvest,Morning,3,8.54,18.0,1.12,True,1018.94
Plough,1468.54,Growing,Night,5,12.79,18.0,1.21,False,1029.36
Drone,4169.14,Off-Season,Evening,4,13.64,18.0,1.22,True,2388.42
Harvester,4295.98,Growing,Evening,2,11.19,18.0,1.05,True,1358.2
Harvester,4144.6,Planting,Evening,2,13.16,18.0,1.44,True,1939.61
Harvester,3970.14,Planting,Afternoon,5,1.41,18.0,1.25,True,3984.08
Tractor,1920.98,Harvest,Morning,5,4.29,18.0,0.7,True,1487.56
Drone,4397.89,Growing,Evening,4,13.78,18.0,0.86,True,2218.4
Drone,4855.01,Harvest,Night,4,6.11,18.0,1.33,True,4177.06
Plough,1522.06,Harvest,Afternoon,2,7.15,18.0,1.5,True,810.88
Tractor,1801.27,Planting,Evening,2,12.7,18.0,1.39,True,817.45
Harvester,4306.77,Harvest,Night,4,0.46,18.0,1.47,True,4354.61
Tractor,2093.61,Off-Season,Evening,3,7.15,18.0,1.19,True,939.9
Plough,1557.76,Harvest,Morning,3,9.49,18.0,1.14,True,1113.91
Plough,1450.02,Harvest,Evening,4,3.16,18.0,1.46,True,1805.15
Harvester,4398.26,Harvest,Afternoon,5,14.92,18.0,0.59,True,2116.06
Tractor,1817.66,Off-Season,Morning,5,12.51,18.0,1.24,True,1396.64
Plough,1576.03,Off-Season,Evening,2,12.33,18.0,1.31,True,490.94
Plough,1560.01,Off-Season,Afternoon,4,1.33,18.0,0.99,True,717.55
Harvester,3926.03,Harvest,Night,3,0.37,18.0,0.81,True,1632.54
Plough,1539.63,Off-Season,Evening,2,14.22,18.0,0.57,False,205.15
Drone,4520.32,Harvest,Afternoon,5,10.23,18.0,0.61,True,2384.71
Tractor,1896.89,Planting,Morning,3,0.75,18.0,0.57,True,629.98
Plough,1438.59,Harvest,Morning,5,12.95,18.0,0.9,True,1298.55
Drone,4187.1,Off-Season,Morning,4,13.59,18.0,0.82,True,1683.44
Plough,1417.81,Growing,Morning,2,3.29,18.0,0.53,True,259.04
Drone,4424.51,Planting,Afternoon,2,1.84,18.0,1.39,True,1957.01
Plough,1484.8,Off-Season,Night,3,12.32,18.0,1.05,True,437.44
Drone,4523.65,Growing,Night,3,10.71,18.0,1.32,True,2127.44
Harvester,4042.0,Off-Season,Evening,4,1.8,18.0,1.42,True,3052.51
Tractor,1960.58,Off-Season,Evening,4,4.26,18.0,0.63,True,645.76
Harvester,3643.47,Growing,Evening,5,6.04,18.0,0.6,True,1750.12
Plough,1584.9,Harvest,Morning,3,4.14,18.0,1.21,True,1265.8
Tractor,2135.74,Off-Season,Evening,2,5.11,18.0,1.44,True,792.31
Harvester,4344.71,Harvest,Afternoon,2,5.4,18.0,0.77,True,1214.27
Drone,4332.01,Planting,Morning,5,13.61,18.0,1.44,True,5257.28
Tractor,1950.93,Growing,Morning,5,14.46,18.0,0.59,True,870.31
Drone,4494.43,Growing,Night,2,13.95,18.0,1.34,True,1380.25
Tractor,1855.65,Planting,Night,2,10.7,18.0,1.17,False,564.5
Plough,1578.31,Growing,Morning,2,10.14,18.0,1.44,True,724.96
Plough,1492.62,Off-Season,Night,4,9.66,18.0,0.55,True,314.0
Drone,4911.12,Harvest,Night,5,12.99,18.0,0.98,True,3598.71
Harvester,4107.54,Off-Season,Night,4,5.55,18.0,0.55,True,910.33
Drone,4424.85,Growing,Morning,2,6.24,18.0,1.22,True,1791.31
Harvester,4295.81,Harvest,Morning,3,13.2,18.0,0.72,True,1842.24
Drone,4596.98,Harvest,Morning,3,5.92,18.0,1.43,True,4271.53
Drone,4713.39,Harvest,Night,3,9.67,18.0,0.9,True,1973.05
Plough,1409.76,Growing,Evening,5,1.28,18.0,0.54,True,640.94
Harvester,4258.65,Off-Season,Evening,3,7.74,18.0,0.77,True,1227.8
Tractor,1805.88,Planting,Evening,2,13.67,18.0,1.34,True,778.62
Plough,1634.65,Planting,Morning,4,7.39,18.0,0.9,True,1066.11
Tractor,2038.05,Off-Season,Evening,5,10.87,18.0,1.38,True,1697.9
Drone,4407.88,Planting,Morning,2,4.68,18.0,1.27,True,2084.42
Tractor,2008.52,Harvest,Afternoon,3,12.86,18.0,1.08,True,1082.72
Drone,4394.32,Harvest,Morning,2,1.8,18.0,0.77,True,1520.3
Harvester,3834.65,Growing,Night,2,11.09,18.0,0.72,True,654.73
Drone,4563.58,Growing,Morning,5,4.5,18.0,1.15,False,4422.06
Drone,4812.35,Growing,Night,2,8.2,18.0,1.33,True,1559.62
Harvester,3832.92,Growing,Morning,2,5.97,18.0,0.8,True,1024.4
Harvester,3782.59,Growing,Night,3,9.05,18.0,0.97,True,1333.65
Tractor,2068.66,Off-Season,Morning,5,14.37,18.0,1.44,True,1809.45
Tractor,2196.53,Growing,Afternoon,3,9.67,18.0,1.06,True,931.8
Plough,1411.49,Off-Season,Evening,3,2.94,18.0,0.64,True,357.4
Tractor,2112.53,Growing,Night,2,4.14,18.0,1.48,True,796.59
Harvester,4325.14,Growing,Morning,4,10.11,18.0,0.76,True,2091.68
Plough,1625.25,Growing,Morning,5,10.87,18.0,1.04,True,1331.68
Harvester,4152.0,Growing,Afternoon,3,2.21,18.0,0.51,True,912.42
Plough,1484.3,Off-Season,Afternoon,3,6.23,18.0,0.8,True,395.09
Plough,1456.28,Planting,Night,3,10.19,18.0,0.58,True,330.14
Harvester,4245.57,Planting,Night,3,8.2,18.0,0.68,True,1161.5
Plough,1518.26,Growing,Afternoon,3,6.68,18.0,0.71,True,444.61
Plough,1603.09,Growing,Afternoon,5,14.92,18.0,1.03,True,1033.22
Drone,4643.2,Growing,Morning,2,2.95,18.0,1.45,False,2315.23
Plough,1563.52,Harvest,Evening,3,7.84,18.0,0.72,True,685.5
Tractor,2167.75,Harvest,Night,4,1.1,18.0,1.12,False,1661.07
Drone,4221.1,Growing,Evening,4,10.98,18.0,0.86,True,2179.92
Harvester,3916.16,Growing,Evening,5,14.66,18.0,1.26,True,3563.84
Harvester,3981.52,Planting,Night,5,4.65,18.0,0.73,True,2029.09
Plough,1584.4,Planting,Evening,5,8.48,18.0,1.27,True,1720.33
Harvester,3609.68,Off-Season,Night,3,11.77,18.0,0.88,True,889.9
Tractor,2121.9,Planting,Morning,2,3.33,18.0,0.82,True,656.3
Tractor,2091.54,Off-Season,Evening,4,3.81,18.0,0.75,True,814.47
Drone,4855.18,Growing,Morning,2,1.78,18.0,0.79,True,1331.78
Drone,4877.58,Growing,Night,4,7.42,18.0,1.01,True,2428.31
Tractor,2054.18,Harvest,Morning,5,11.31,18.0,1.42,False,2972.94
Harvester,4061.7,Off-Season,Afternoon,3,9.33,18.0,1.49,True,1945.67
Drone,4566.46,Harvest,Morning,3,9.85,18.0,0.74,True,2104.03
Tractor,2167.3,Harvest,Night,5,0.41,18.0,1.34,True,2495.25
Harvester,3782.96,Planting,Afternoon,2,2.63,18.0,1.37,True,1633.71
Plough,1635.14,Off-Season,Morning,2,10.79,18.0,1.06,True,439.28
Tractor,1930.54,Planting,Morning,4,4.24,18.0,0.85,True,1228.21
Drone,4901.81,Planting,Evening,5,6.01,18.0,1.26,True,5428.91
Harvester,4311.11,Planting,Morning,3,3.07,18.0,1.09,True,2663.24
Tractor,1932.63,Off-Season,Afternoon,4,0.49,18.0,1.14,True,1031.2
Drone,4315.72,Harvest,Night,4,7.6,18.0,0.91,True,2503.26
Tractor,2134.33,Off-Season,Morning,2,10.9,18.0,1.27,True,686.06
Tractor,2129.92,Harvest,Morning,3,13.14,18.0,1.04,True,1327.04
Harvester,3940.18,Growing,Night,2,5.88,18.0,1.05,True,1030.62
Drone,4581.39,Off-Season,Afternoon,5,7.84,18.0,0.55,False,1381.69
Plough,1417.84,Planting,Morning,3,0.15,18.0,0.94,True,775.21
Tractor,1820.76,Off-Season,Afternoon,5,14.5,18.0,0.72,True,665.23
Harvester,4193.52,Planting,Evening,2,11.39,18.0,1.11,True,1538.76
Plough,1595.41,Planting,Morning,5,12.25,18.0,0.68,True,928.93
Harvester,4321.55,Off-Season,Night,3,6.09,18.0,0.72,True,931.63
Plough,1512.74,Growing,Morning,5,9.92,18.0,0.58,True,697.64
Tractor,2083.73,Harvest,Night,4,4.04,18.0,1.02,True,1404.64
Harvester,4102.75,Planting,Morning,3,3.98,18.0,1.1,True,2534.72
Plough,1564.33,Off-Season,Afternoon,2,8.4,18.0,1.28,True,433.1
Plough,1401.63,Off-Season,Night,2,13.99,18.0,1.33,True,339.9
Harvester,4171.46,Off-Season,Evening,4,12.05,18.0,0.62,True,1238.69
Harvester,4280.38,Harvest,Morning,2,4.11,18.0,1.31,True,2468.86
Harvester,3876.27,Off-Season,Afternoon,3,9.98,18.0,0.66,True,811.99
Tractor,2105.89,Off-Season,Evening,5,8.43,18.0,1.45,True,1893.34
Tractor,1952.21,Off-Season,Night,4,7.6,18.0,0.89,False,679.86
Drone,4064.46,Harvest,Night,4,12.58,18.0,0.51,True,1254.3
Harvester,4376.21,Growing,Afternoon,2,1.46,18.0,1.06,True,1347.13
Plough,1561.86,Harvest,Night,2,14.51,18.0,0.55,True,254.25
Harvester,4174.76,Planting,Night,3,1.78,18.0,1.46,True,2625.39
Drone,4907.22,Off-Season,Afternoon,5,1.98,18.0,1.37,True,3874.79
Plough,1442.94,Growing,Afternoon,4,4.75,18.0,1.32,True,1067.49
Harvester,3656.71,Harvest,Afternoon,3,9.37,18.0,1.07,True,2043.13
Drone,4865.48,Harvest,Afternoon,3,3.71,18.0,0.66,True,1786.26
Tractor,1807.92,Harvest,Evening,2,4.6,18.0,0.85,True,648.8
Harvester,3867.24,Growing,Afternoon,2,13.17,18.0,1.11,True,1095.1
Tractor,1942.34,Off-Season,Morning,3,6.49,18.0,1.19,True,914.62
Plough,1366.98,Off-Season,Morning,4,5.72,18.0,1.48,True,1081.83
Harvester,4186.79,Planting,Evening,4,2.98,18.0,0.92,True,2783.96
Tractor,1840.55,Harvest,Afternoon,2,4.88,18.0,1.44,False,967.69
Tractor,1804.59,Harvest,Evening,3,7.78,18.0,0.68,False,747.93
Drone,4151.97,Harvest,Evening,3,8.33,18.0,0.69,True,1736.83
Tractor,1881.78,Growing,Afternoon,2,5.96,18.0,0.76,True,398.96
Plough,1494.91,Off-Season,Evening,5,9.46,18.0,1.05,True,963.9
Tractor,1857.58,Harvest,Afternoon,4,1.15,18.0,0.58,False,810.6
Tractor,1918.92,Harvest,Night,3,10.44,18.0,0.96,True,852.43
Harvester,4042.7,Harvest,Evening,2,0.23,18.0,1.47,True,2606.1
Harvester,4140.82,Growing,Evening,2,10.08,18.0,1.08,True,1368.71
Harvester,3799.62,Growing,Morning,3,12.99,18.0,1.45,True,2539.72
Tractor,1861.93,Harvest,Morning,4,3.2,18.0,1.44,True,2387.32
Plough,1581.69,Growing,Evening,5,10.52,18.0,1.18,True,1416.59
Harvester,3612.32,Planting,Night,5,14.04,18.0,1.04,False,2362.23
Drone,4248.44,Off-Season,Evening,2,12.6,18.0,0.69,True,693.9
Plough,1643.1,Off-Season,Morning,2,7.47,18.0,1.24,True,535.12
Harvester,4312.05,Harvest,Evening,2,13.72,18.0,0.93,True,1532.58
Drone,4440.96,Planting,Night,2,6.58,18.0,1.5,True,1813.02
Plough,1514.06,Growing,Night,2,3.63,18.0,1.21,True,470.31
Drone,4229.34,Planting,Afternoon,4,0.75,18.0,1.41,True,3845.34
Plough,1456.79,Harvest,Morning,3,4.06,18.0,0.75,True,721.23
Harvester,3967.15,Off-Season,Morning,4,3.23,18.0,1.1,True,2385.54
Plough,1461.66,Off-Season,Evening,4,12.58,18.0,1.31,True,905.21
Plough,1629.81,Growing,Night,2,11.8,18.0,0.9,True,342.51
Drone,4278.02,Growing,Evening,4,7.82,18.0,0.57,True,1520.97
Harvester,4336.61,Planting,Afternoon,3,12.0,18.0,0.83,True,1548.54
Harvester,4332.21,Harvest,Evening,2,10.0,18.0,1.29,True,2213.8
Plough,1539.07,Off-Season,Afternoon,4,9.57,18.0,1.33,True,876.11
Tractor,2014.01,Growing,Afternoon,4,14.04,18.0,0.56,True,576.07
Drone,4313.14,Growing,Afternoon,4,8.98,18.0,0.7,True,1623.86
Tractor,1963.05,Growing,Morning,4,7.37,18.0,1.43,True,1837.35
Drone,4738.0,Planting,Morning,3,0.17,18.0,0.91,False,2510.67
Plough,1383.56,Off-Season,Morning,2,1.06,18.0,0.69,True,265.81
Plough,1614.51,Harvest,Afternoon,2,12.4,18.0,0.95,True,513.22
Harvester,3606.37,Planting,Evening,5,3.75,18.0,1.02,True,3286.97
Tractor,1942.75,Growing,Morning,4,1.15,18.0,1.37,True,1866.32
Tractor,1886.42,Planting,Night,4,14.29,18.0,0.83,True,780.76
Tractor,2002.25,Growing,Afternoon,4,3.48,18.0,0.82,False,933.43
